ID Cliente,Fecha emisión factura,Fecha vencimiento factura,Monto
0379,2022-01-02,2022-02-01,16782000.0
8976,2022-01-26,2022-02-25,23152500.0
2820,2022-07-03,2022-08-02,19764000.0
9322,2022-02-10,2022-03-12,39720000.0
5148,2022-01-27,2022-02-26,28200000.0
8690,2022-08-13,2022-09-12,22407000.0
3831,2022-05-14,2022-06-13,30026249.999999996
7654,2022-07-01,2022-07-31,14499000.0
3993,2022-03-31,2022-04-30,22599000.0
5284,2022-08-07,2022-09-06,22005000.0
5924,2022-05-08,2022-06-07,27024000.0
8820,2022-02-21,2022-03-23,18588000.0
8976,2022-05-16,2022-06-15,20964000.0
5148,2022-05-29,2022-06-28,25800000.0
7758,2022-06-24,2022-07-24,26808749.999999996
6004,2022-01-06,2022-02-05,26448000.0
9841,2022-02-16,2022-03-18,7932000.0
8690,2022-02-18,2022-03-19,31248750.0
8156,2022-01-24,2022-02-23,27262500.0
7946,2022-05-29,2022-06-28,12507000.0
2621,2022-03-31,2022-04-30,26598750.000000004
8887,2022-05-31,2022-06-30,12021000.0
9286,2022-05-27,2022-06-26,17457000.0
6833,2022-07-27,2022-08-26,21639000.0
6160,2022-01-13,2022-02-12,21816000.0
1080,2022-02-19,2022-03-20,35055000.0
6296,2022-09-21,2022-10-21,13965000.0
6296,2022-04-23,2022-05-23,10389000.0
5148,2022-09-28,2022-10-28,26745000.0
0379,2022-08-05,2022-09-04,13092000.0
3993,2022-02-01,2022-03-03,16995000.0
9174,2022-08-02,2022-09-01,17460000.0
2676,2022-08-19,2022-09-18,24915000.0
9014,2022-02-13,2022-03-15,18009000.0
6833,2022-09-11,2022-10-11,17703000.0
1447,2022-04-27,2022-05-27,20055000.0
8364,2022-08-20,2022-09-19,29561250.0
9323,2022-09-10,2022-10-10,24375000.0
5920,2022-08-30,2022-09-29,17154000.0
6708,2022-08-02,2022-09-01,27993750.000000004
9014,2022-06-09,2022-07-09,17955000.0
4632,2022-06-10,2022-07-10,12162000.0
2125,2022-09-03,2022-10-03,19290000.0
5592,2022-07-15,2022-08-14,8529000.0
6177,2022-08-29,2022-09-28,16878000.0
5529,2022-02-10,2022-03-12,23178000.0
4640,2022-09-23,2022-10-23,19380000.0
5284,2022-01-13,2022-02-12,16332000.0
0688,2022-08-14,2022-09-13,18390000.0
9174,2022-09-22,2022-10-22,14964000.0
3569,2022-02-01,2022-03-03,11592000.0
7050,2022-03-08,2022-04-07,19710000.0
5924,2022-03-14,2022-04-13,20280000.0
1080,2022-09-06,2022-10-06,34698750.0
9174,2022-09-10,2022-10-10,11400000.0
5924,2022-02-07,2022-03-08,42660000.0
4092,2022-05-07,2022-06-06,15288000.0
3993,2022-01-03,2022-02-02,15117000.0
6177,2022-02-06,2022-03-07,18984000.0
6048,2022-02-14,2022-03-16,26370000.0
1408,2022-04-05,2022-05-05,10143750.0
8690,2022-02-26,2022-03-28,20043750.0
8389,2022-01-22,2022-02-21,21747000.0
4092,2022-02-27,2022-03-29,20895000.0
7600,2022-07-03,2022-08-02,18375000.0
7758,2022-03-12,2022-04-11,26568749.999999996
5196,2022-07-04,2022-08-03,21795000.0
3448,2022-07-05,2022-08-04,24798750.0
