Date;USDCOP;BRENT
31/03/2022;3771.05;107.91
30/03/2022;3757.46;113.45
29/03/2022;3756.11;110.23
28/03/2022;3786.88;112.48
25/03/2022;3794.11;120.65
24/03/2022;3788.23;119.03
23/03/2022;3784.82;121.6
22/03/2022;3761.61;115.48
18/03/2022;3817.04;107.93
17/03/2022;3825.15;106.64
16/03/2022;3836.3;98.02
15/03/2022;3831.95;99.91
14/03/2022;3798.66;106.9
11/03/2022;3819.95;112.67
10/03/2022;3817.75;109.33
9/03/2022;3742.9;111.14
8/03/2022;3771.85;127.98
7/03/2022;3812.31;123.21
4/03/2022;3826.49;118.11
3/03/2022;3756.42;110.46
2/03/2022;3836.48;112.93
1/03/2022;3884.13;104.97
28/02/2022;3937.94;100.99
25/02/2022;3913;97.93
24/02/2022;3926.61;99.08
23/02/2022;3912.9;96.84
22/02/2022;3930.57;96.84
21/02/2022;3938.31;95.39
18/02/2022;3930.74;93.54
17/02/2022;3932.55;92.97
16/02/2022;3963.52;94.81
15/02/2022;3951.85;93.28
14/02/2022;3944.5;96.48
11/02/2022;3930.02;94.44
10/02/2022;3920.2;91.41
9/02/2022;3939.78;91.55
8/02/2022;3948.21;90.78
7/02/2022;3965.25;92.69
4/02/2022;3955.68;93.27
3/02/2022;3954.19;91.11
2/02/2022;3932.49;89.47
1/02/2022;3925.51;89.16
31/01/2022;3947.01;91.21
28/01/2022;3957;90.03
27/01/2022;3963.65;89.34
26/01/2022;3930.4;89.96
25/01/2022;3970.77;88.2
24/01/2022;3977.05;86.27
21/01/2022;3955.38;87.89
20/01/2022;3977.23;88.38
19/01/2022;3995.04;88.44
18/01/2022;4038.09;87.51
17/01/2022;4007.11;86.48
14/01/2022;4004.03;86.06
13/01/2022;3967.85;84.47
12/01/2022;3974.38;84.67
11/01/2022;3993.25;83.72
10/01/2022;4051.98;80.87
7/01/2022;4051.08;81.75
6/01/2022;4033.05;81.99
5/01/2022;4024.35;80.8
4/01/2022;4081.55;80
3/01/2022;4061.8;78.98
30/12/2021;4080.32;79.32
29/12/2021;4038.04;79.23
28/12/2021;4011.35;78.94
27/12/2021;3999.42;78.6
24/12/2021;3993.43;76.14
23/12/2021;3998.88;76.85
22/12/2021;3999.62;75.29
21/12/2021;4001.07;73.98
20/12/2021;4007.16;71.52
17/12/2021;4028.13;73.52
16/12/2021;4019.45;75.02
15/12/2021;4000.1;73.88
14/12/2021;4003.09;73.7
13/12/2021;3890.83;74.39
10/12/2021;3901.3;75.15
9/12/2021;3903.02;74.42
8/12/2021;3905.56;75.82
7/12/2021;3910.65;75.44
6/12/2021;3932.17;73.08
3/12/2021;3967.44;69.88
2/12/2021;3938.27;69.67
1/12/2021;3971.56;68.87
30/11/2021;3962.76;70.57
29/11/2021;4035.59;73.44
26/11/2021;4015.7;72.72
25/11/2021;3984.3;82.22
24/11/2021;3975.13;82.25
23/11/2021;3949.88;82.31
22/11/2021;3894.82;79.7
19/11/2021;3916.18;78.89
18/11/2021;3925.4;81.24
17/11/2021;3918.43;80.28
16/11/2021;3895.34;82.43
12/11/2021;3884.63;82.17
11/11/2021;3878.63;82.87
10/11/2021;3881.91;82.64
9/11/2021;3862.9;84.78
8/11/2021;3876.38;83.43
5/11/2021;3878.85;82.74
4/11/2021;3869.34;80.54
3/11/2021;3834.24;81.99
2/11/2021;3795.98;84.72
29/10/2021;3767.37;84.38
28/10/2021;3777.75;84.32
27/10/2021;3759.45;84.58
26/10/2021;3769.23;86.4
